Transaction ID,Transaction
Trans1,"Diapers, Baby Wipes, Formula Milk, Milk, Apples"
Trans2,"Diapers, Baby Wipes, Formula Milk, Chicken Nuggets, Yogurt, Coffee"
Trans3,"Diapers, Formula Milk, Soda, Bananas, Tea"
Trans4,"Diapers, Baby Wipes, Chicken Nuggets, Cheese, Rice"
Trans5,"Chicken Nuggets, Frozen Pizza, Soda, Pasta, Peanut Butter"
Trans6,"Diapers, Baby Wipes, Formula Milk, Chicken Nuggets, Potato Chips, Orange Juice"
Trans7,"Frozen Pizza, Soda, Bread, Tomato Sauce, Canned Beans"
Trans8,"Diapers, Formula Milk, Cereal, Eggs, Butter, Jelly"
Trans9,"Baby Wipes, Formula Milk, Chicken Nuggets, Frozen Pizza, Cheese, Tea"
Trans10,"Diapers, Baby Wipes, Soda, Potato Chips, Peanut Butter, Pasta"
Trans11,"Cereal, Bread, Eggs, Butter, Cheese"
Trans12,"Chicken Nuggets, Frozen Pizza, Soda, Potato Chips, Laundry Detergent, Toilet Paper"
Trans13,"Diapers, Baby Wipes, Chicken Nuggets, Frozen Pizza, Soda, Coffee, Shampoo"
Trans14,"Formula Milk, Cereal, Bread, Apples, Orange Juice, Jelly"
Trans15,"Diapers, Baby Wipes, Formula Milk, Chicken Nuggets, Frozen Pizza, Soda, Shampoo, Soap"
Trans16,"Baby Wipes, Formula Milk, Cereal, Eggs, Butter, Pasta, Rice"
Trans17,"Diapers, Chicken Nuggets, Potato Chips, Rice, Coffee"
Trans18,"Frozen Pizza, Soda, Potato Chips, Bread, Tomato Sauce, Peanut Butter, Tea"
Trans19,"Diapers, Baby Wipes, Formula Milk, Cereal, Bread, Eggs, Jelly, Toilet Paper"
Trans20,"Chicken Nuggets, Frozen Pizza, Soda, Potato Chips, Bread, Laundry Detergent, Toothpaste"
Trans21,"Milk, Bread, Cheese, Butter, Pasta, Orange Juice"
Trans22,"Baby Wipes, Diapers, Yogurt, Apples, Banana, Eggs"
Trans23,"Canned Beans, Tomato Sauce, Pasta, Rice, Peanut Butter, Bread"
Trans24,"Frozen Pizza, Potato Chips, Soda, Laundry Detergent, Toilet Paper"
Trans25,"Diapers, Baby Wipes, Formula Milk, Milk, Bananas, Apples, Cereal"
Trans26,"Cheese, Bread, Butter, Yogurt, Coffee, Tea, Eggs"
Trans27,"Chicken Nuggets, Pasta, Rice, Canned Beans, Tomato Sauce"
Trans28,"Diapers, Baby Wipes, Chicken Nuggets, Potato Chips, Soap, Shampoo"
Trans29,"Soda, Peanut Butter, Jelly, Bread, Cereal, Butter"
Trans30,"Tea, Coffee, Orange Juice, Eggs, Rice, Pasta, Peanut Butter"
Trans31,"Shampoo, Soap, Laundry Detergent, Toilet Paper, Toothpaste"
Trans32,"Cereal, Milk, Orange Juice, Apples, Bananas, Tea, Bread"
Trans33,"Diapers, Baby Wipes, Formula Milk, Chicken Nuggets, Peanut Butter, Eggs"
Trans34,"Cheese, Butter, Pasta, Tomato Sauce, Rice, Coffee"
Trans35,"Chicken Nuggets, Frozen Pizza, Soda, Shampoo, Toothpaste, Laundry Detergent"
Trans36,"Diapers, Baby Wipes, Cereal, Bread, Peanut Butter, Jelly, Tea"
Trans37,"Pasta, Rice, Tomato Sauce, Canned Beans, Peanut Butter, Tea"
Trans38,"Soda, Potato Chips, Chicken Nuggets, Frozen Pizza, Bread, Cheese"
Trans39,"Diapers, Baby Wipes, Formula Milk, Bread, Milk, Orange Juice"
Trans40,"Butter, Yogurt, Coffee, Tea, Apples, Bananas, Eggs"
Trans41,"Canned Beans, Tomato Sauce, Pasta, Bread, Peanut Butter, Jelly"
Trans42,"Chicken Nuggets, Frozen Pizza, Soda, Potato Chips, Soap, Shampoo"
Trans43,"Milk, Orange Juice, Cereal, Peanut Butter, Jelly, Eggs"
Trans44,"Diapers, Baby Wipes, Chicken Nuggets, Soda, Peanut Butter, Coffee"
Trans45,"Frozen Pizza, Potato Chips, Tea, Coffee, Bread, Butter, Cheese"
Trans46,"Cereal, Milk, Eggs, Orange Juice, Yogurt, Apples, Bananas"
Trans47,"Diapers, Baby Wipes, Formula Milk, Frozen Pizza, Cheese, Shampoo, Soap"
Trans48,"Pasta, Rice, Tomato Sauce, Canned Beans, Bread, Peanut Butter"
Trans49,"Chicken Nuggets, Soda, Potato Chips, Frozen Pizza, Laundry Detergent, Toilet Paper"
Trans50,"Diapers, Baby Wipes, Formula Milk, Chicken Nuggets, Peanut Butter, Shampoo, Coffee"
